date,cpi_mom_index,monthly_factor,price_index,inflation_yoy
2003-09-01,100.6,1.006,137.15551417188252,6.229658257251569
2003-10-01,101.3,1.013,138.93853585611697,6.862605575566838
2003-11-01,101.9,1.0190000000000001,141.57836803738323,8.13604278202844
2003-12-01,101.5,1.015,143.70204355794397,8.24268582224741
2004-01-01,101.4,1.014,145.71387216775517,8.136042782028419
2004-02-01,100.4,1.004,146.2967276564262,7.387326363161795
2004-03-01,100.4,1.004,146.88191456705192,6.643793935325859
2004-04-01,100.7,1.0070000000000001,147.9100879690213,6.643793935325881
2004-05-01,100.7,1.0070000000000001,148.94545858480447,7.39030049287317
2004-06-01,100.7,1.0070000000000001,149.9880767948981,8.033998597725557
2004-07-01,100.0,1.0,149.9880767948981,8.142140738463999
2004-08-01,99.9,0.9990000000000001,149.83808871810322,9.902338349669936
2004-09-01,101.3,1.013,151.78598387143856,10.667066350114961
2004-10-01,102.2,1.022,155.12527551661023,11.65028806497288
2004-11-01,101.6,1.016,157.60727992487597,11.321582604526403
2004-12-01,102.4,1.024,161.389854643073,12.308670529098563
2005-01-01,101.7,1.0170000000000001,164.13348217200527,12.640944702261603
2005-02-01,101.0,1.01,165.77481699372532,13.314097758251208
2005-03-01,101.6,1.016,168.42721406562495,14.668449524286098
2005-04-01,100.7,1.0070000000000001,169.60620456408435,14.668449524286098
2005-05-01,100.6,1.006,170.62384179146886,14.554578174212306
2005-06-01,100.6,1.006,171.64758484221767,14.44081990393007
2005-07-01,100.3,1.003,172.1625275967443,14.78414236364185
2005-08-01,100.0,1.0,172.1625275967443,14.899041405046876
2005-09-01,100.4,1.004,172.85117770713128,13.878220701546962
2005-10-01,100.9,1.0090000000000001,174.40683830649547,12.429671905930405
2005-11-01,101.2,1.012,176.49972036617342,11.987035402363766
2005-12-01,100.9,1.0090000000000001,178.08821784946903,10.346600313461995
2006-01-01,101.2,1.012,180.22527646366265,9.80408998743707
2006-02-01,101.8,1.018,183.46933144000857,10.673825353674204
2006-03-01,99.7,0.997,182.91892344568853,8.604137674816092
2006-04-01,99.6,0.996,182.18724775190577,7.417796548278854
