date,ukraine_inflation_yoy,ukraine_inflation_yoy_cf
2006-02-01,10.673825353674204,2.320133095941787
2006-03-01,8.604137674816092,1.7264714958142569
2006-04-01,7.417796548278854,2.0028680653910427
2006-05-01,7.311019414533049,3.0582140949279117
2006-06-01,6.777664447263976,3.1647653246459306
2006-07-01,7.416414184735176,3.659575616002417
2006-08-01,7.416414184735176,3.7837614518101637
2006-09-01,9.128229550228962,3.460669675137158
2006-10-01,10.966861762670877,3.8394064241132324
2006-11-01,11.624768057706468,4.649408190947975
2006-12-01,11.624768057706447,5.742489179555695
2007-01-01,10.852659978255907,6.224593981871631
2007-02-01,9.545948858669394,6.676234116436181
2007-03-01,10.095326736596544,8.445870616588433
2007-04-01,10.537476643169219,10.042744460510194
2007-05-01,10.64746418211766,11.06208868439796
2007-06-01,12.968739654469807,12.576528857232994
2007-07-01,13.528545103699074,13.013357609383334
2007-08-01,14.209716374321268,13.116779896074494
2007-09-01,14.43365699466308,14.107002184992576
2007-10-01,14.768258330904803,15.496422458487727
2007-11-01,15.21921415931702,17.180844934031885
2007-12-01,16.589512048228585,18.153739446354
2008-01-01,19.373739201619156,19.640594552254047
2008-02-01,21.86563634201084,20.452184372542284
2008-03-01,26.244042438130965,22.524089111949138
2008-04-01,30.157607753713034,23.067611803491666
2008-05-01,31.063276992555956,22.481138361957445
2008-06-01,29.26788963649354,20.88315329940493
2008-07-01,26.845710244882692,18.418290504616508
2008-08-01,25.96308601852666,16.37268849453964
2008-09-01,24.607318947877154,13.665604368593678
2008-10-01,23.154172371225478,10.020754472381961
2008-11-01,22.31065064265545,5.299321810148058
2008-12-01,22.31065064265545,1.289277633432825
2009-01-01,22.31065064265543,-1.9754218653246551
2009-02-01,20.881509641962246,-1.8131338579739615
2009-03-01,18.086561442148085,-3.3110811754578897
2009-04-01,15.56677060633116,-2.5935103540926603
2009-05-01,14.654101144484532,-1.6821194934485242
2009-06-01,14.995333588366911,-0.03392400847258811
2009-07-01,15.457626386712153,1.2814339033069941
2009-08-01,15.342053187125826,5.177876125636666
2009-09-01,14.999791901704107,6.938414612858381
2009-10-01,14.095172103067299,7.796268798631746
2009-11-01,13.645535956848299,9.644080135280044
2009-12-01,12.309839158139035,10.445814479429446
2010-01-01,11.109248068984968,10.271399392338742
2010-02-01,11.547117026892328,9.970930519064362
2010-03-01,10.997081933071362,10.031240773596076
2010-04-01,9.676997707901048,9.11115329285944
2010-05-01,8.476552956869288,8.01175384771118
2010-06-01,6.867108550981027,6.136675740189513
2010-07-01,6.7601344683473785,5.72785977304556
2010-08-01,8.257771625218012,6.4816247309546
2010-09-01,10.51314186741006,8.012650148575055
2010-10-01,10.075032286171549,8.059816158183407
2010-11-01,9.204013237418462,7.424099823833879
2010-12-01,9.095783293674732,8.280056248072595
2011-01-01,8.238449043822671,8.591868499180379
2011-02-01,7.176246403549613,8.719549144707655
2011-03-01,7.707347723686131,9.596863222156198
2011-04-01,9.435850796483503,10.645604114722856
2011-05-01,10.977200807701571,11.00896680934174
2011-06-01,11.868583946719236,10.81606885870692
2011-07-01,10.635563482376643,9.24438101916505
2011-08-01,8.886384613090037,7.043194981083949
2011-09-01,5.923489793686221,5.380511135210038
2011-10-01,5.396507257399241,5.029357931358373
2011-11-01,5.186344730465242,4.854942005008047
2011-12-01,4.560235535641044,3.806763514068237
2012-01-01,3.732035650210208,2.8487489944574995
2012-02-01,3.0123882274634584,2.4219491297996267
