date,baseline_cf,full_replacement_cf,ukraine_inflation_yoy
2004-09-01,5.389019201906829,1.863730386611017,10.667066350114961
2004-10-01,5.649152214145526,1.6428480013231224,11.65028806497288
2004-11-01,4.483501951583349,-0.0798799983550682,11.321582604526403
2004-12-01,3.897277234187602,-1.7142292667592258,12.308670529098563
2005-01-01,2.787115853077059,-3.7853787714185723,12.640944702261603
2005-02-01,2.035435899086353,-5.486409729583605,13.314097758251208
2005-03-01,2.520160151516649,-5.5809828211902826,14.668449524286098
2005-04-01,2.2965057042028065,-5.953356789181377,14.668449524286098
2005-05-01,1.2201237714196365,-7.671089253588123,14.554578174212306
2005-06-01,0.8510635942091485,-8.210078687057987,14.44081990393007
2005-07-01,1.470040096881556,-7.407104234289857,14.78414236364185
2005-08-01,2.1305293316721734,-6.382696433255311,14.899041405046876
2005-09-01,2.9591552264923155,-4.320945551472007,13.878220701546962
2005-10-01,2.2106138251098377,-4.602681150063949,12.429671905930405
2005-11-01,1.9655429629751149,-4.715929671410522,11.987035402363766
2005-12-01,1.2757300790658606,-4.771901320721792,10.346600313461995
2006-01-01,1.3838357933009635,-4.229974339826958,9.80408998743707
2006-02-01,2.320133095941787,-3.2492385192734172,10.673825353674204
2006-03-01,1.7264714958142569,-2.8588300542670795,8.604137674816092
2006-04-01,2.0028680653910427,-1.6072317481281115,7.417796548278854
2006-05-01,3.0582140949279117,0.22289845349513143,7.311019414533049
2006-06-01,3.1647653246459306,0.7560826303656902,6.777664447263976
2006-07-01,3.659575616002417,1.1549566205143564,7.416414184735176
2006-08-01,3.7837614518101637,1.3619517803955017,7.416414184735176
2006-09-01,3.460669675137158,-0.3177297751326795,9.128229550228962
2006-10-01,3.8394064241132324,-0.9122448151462319,10.966861762670877
2006-11-01,4.649408190947975,-0.0008367927588823765,11.624768057706468
2006-12-01,5.742489179555695,1.82097201182935,11.624768057706447
2007-01-01,6.224593981871631,3.1392241611217253,10.852659978255907
2007-02-01,6.676234116436181,4.763102482536636,9.545948858669394
2007-03-01,8.445870616588433,7.3462476088564115,10.095326736596544
2007-04-01,10.042744460510194,9.712939373262603,10.537476643169219
2007-05-01,11.06208868439796,11.33852261901485,10.64746418211766
2007-06-01,12.576528857232994,12.315073246996871,12.968739654469807
2007-07-01,13.013357609383334,12.669917738432572,13.528545103699074
2007-08-01,13.116779896074494,12.38817389263411,14.209716374321268
2007-09-01,14.107002184992576,13.889250221521694,14.43365699466308
2007-10-01,15.496422458487727,15.981882520391883,14.768258330904803
2007-11-01,17.180844934031885,18.48861535649557,15.21921415931702
2007-12-01,18.153739446354,19.1965734535117,16.589512048228585
2008-01-01,19.640594552254047,19.48690392693398,19.373739201619156
2008-02-01,20.452184372542284,18.69667169957502,21.86563634201084
2008-03-01,22.524089111949138,18.523765315560617,26.244042438130965
2008-04-01,23.067611803491666,15.746163985952172,30.157607753713034
2008-05-01,22.481138361957445,13.706676922672186,31.063276992555956
2008-06-01,20.88315329940493,12.337659583263353,29.26788963649354
2008-07-01,18.418290504616508,9.855786223330005,26.845710244882692
2008-08-01,16.37268849453964,6.668248923509607,25.96308601852666
2008-09-01,13.665604368593678,3.6070653075852146,24.607318947877154
2008-10-01,10.020754472381961,0.11066061492756929,23.154172371225478
2008-11-01,5.299321810148058,-4.15273455322382,22.31065064265545
2008-12-01,1.289277633432825,-7.527232631572428,22.31065064265545
2009-01-01,-1.9754218653246551,-10.068249797315843,22.31065064265543
2009-02-01,-1.8131338579739615,-9.153469240800268,20.881509641962246
2009-03-01,-3.3110811754578897,-9.908415916921339,18.086561442148085
2009-04-01,-2.5935103540926603,-8.481042392659841,15.56677060633116
2009-05-01,-1.6821194934485242,-6.9067234070096974,14.654101144484532
2009-06-01,-0.03392400847258811,-4.649353971776998,14.995333588366911
2009-07-01,1.2814339033069941,-2.780935907038387,15.457626386712153
2009-08-01,5.177876125636666,1.6130185419810106,15.342053187125826
2009-09-01,6.938414612858381,3.8179047917784095,14.999791901704107
2009-10-01,7.796268798631746,5.07038125823843,14.095172103067299
2009-11-01,9.644080135280044,7.26706671702963,13.645535956848299
2009-12-01,10.445814479429446,8.376098122482158,12.309839158139035
2010-01-01,10.271399392338742,7.896144324940218,11.109248068984968
2010-02-01,9.970930519064362,5.36954610273315,11.547117026892328
2010-03-01,10.031240773596076,5.723448793214256,10.997081933071362
2010-04-01,9.11115329285944,5.116153773345355,9.676997707901048
2010-05-01,8.01175384771118,4.101949100774047,8.476552956869288
2010-06-01,6.136675740189513,1.903300581656044,6.867108550981027
2010-07-01,5.72785977304556,1.2027217082911834,6.7601344683473785
2010-08-01,6.4816247309546,1.0500197591986418,8.257771625218012
2010-09-01,8.012650148575055,1.7267068815541697,10.51314186741006
2010-10-01,8.059816158183407,2.7399366703021886,10.075032286171549
2010-11-01,7.424099823833879,2.690470332388371,9.204013237418462
2010-12-01,8.280056248072595,5.214511082761335,9.095783293674732
2011-01-01,8.591868499180379,7.486594429791943,8.238449043822671
2011-02-01,8.719549144707655,9.588579629032614,7.176246403549613
2011-03-01,9.596863222156198,11.157091246756831,7.707347723686131
2011-04-01,10.645604114722856,11.340766787990026,9.435850796483503
2011-05-01,11.00896680934174,10.075238535391097,10.977200807701571
2011-06-01,10.81606885870692,8.378626780202183,11.868583946719236
2011-07-01,9.24438101916505,6.407514077377214,10.635563482376643
2011-08-01,7.043194981083949,3.6240587748475934,8.886384613090037
2011-09-01,5.380511135210038,3.995877734566907,5.923489793686221
2011-10-01,5.029357931358373,3.982322442473932,5.396507257399241
2011-11-01,4.854942005008047,3.926190901957022,5.186344730465242
2011-12-01,3.806763514068237,2.3014352745701707,4.560235535641044
2012-01-01,2.8487489944574995,1.1980444202444247,3.732035650210208
2012-02-01,2.4219491297996267,1.2535424178645926,3.0123882274634584
2012-03-01,1.7721251491459633,1.3426986289470104,1.8948968364357333
2012-04-01,0.8770223302794734,1.0990117228856553,0.5872624249118719
2012-05-01,-0.032150899257676224,0.5009630913448712,-0.510416034090122
2012-06-01,-0.25238805282663707,1.01550155130286,-1.2040685119400818
2012-07-01,1.0801094186476623,2.7165534602787513,-0.10299936668307641
2012-08-01,2.414531520237415,5.92074862156972,-0.002701173276142832
2012-09-01,3.167211997822462,7.818576940227551,-0.002701173276153934
2012-10-01,3.6036921222562244,8.923763520701156,-0.002701173276153934
2012-11-01,3.126497482211212,8.04259357632462,-0.20249597612673753
2012-12-01,3.3235472030789293,8.545724140525929,-0.20249597612672643
2013-01-01,2.662624703923181,6.902518464540177,-0.20249597612670422
2013-02-01,1.8567192131279557,5.343827189669534,-0.5012908983538678
2013-03-01,1.4231178550975183,4.713049599666642,-0.7988942157067469
2013-04-01,0.5613895606584436,2.5646307901644207,-0.7988942157067469
2013-05-01,1.1906079128936498,3.5457841220492936,-0.4008957973143934
2013-06-01,2.1379621906910673,5.46903954291497,-0.10119939550089496
2013-07-01,2.3840517541598234,5.93793071604715,-0.0011003968992007174
2013-08-01,1.7113847541113199,4.861359263585458,-0.40229959289959094
2013-09-01,1.1025820947664848,3.491448163060937,-0.501797795104475
2013-10-01,0.3081161820944801,0.9107537142417388,-0.10380498628489443
2013-11-01,0.4938416166460875,0.92720760575395,0.19618358732984564
2013-12-01,0.9843435797885219,1.7053118070291815,0.4961721609445968
2014-01-01,1.0844492920738928,1.648169194311765,0.4961721609445746
2014-02-01,1.5208236992729518,1.9656922115770157,1.200349543453716
2014-03-01,0.8530795413752454,1.2066968631060206,3.426757233409705
2014-04-01,2.470805597055361,2.7538071823329022,6.8398402221122145
2014-05-01,2.5278756125030166,2.7558306149975262,10.788965185367093
2014-06-01,2.7607065337276024,2.9454368813507075,11.896854837220761
2014-07-01,2.943095088515217,3.0936359417314616,12.456899155725365
2014-08-01,3.817216388812372,3.940520532194703,14.155643855962929
2014-09-01,5.04300807017296,5.144464218354643,17.466157527785864
2014-10-01,6.111129632430516,6.19494506609792,19.806120825152117
2014-11-01,6.771828574202596,6.84131266605201,21.838759601626776
2014-12-01,6.065822428881374,6.123597612707696,24.869574517090133
2015-01-01,5.607544751641758,5.655704242639363,28.48356419872249
2015-02-01,8.98114830460574,9.021374629326782,34.486275448563376
2015-03-01,13.998909044357152,14.032563632376213,45.80312445891215
2015-04-01,19.017351280928445,19.045542608127093,60.90567462067749
2015-05-01,25.25399205405423,25.277627821183906,58.42543300802738
2015-06-01,29.313406521174144,29.3332338924954,57.48429182184107
2015-07-01,33.108514809721264,33.12515167429175,55.2882957207397
2015-08-01,36.287392451417034,36.30135189496348,52.82340213787078
2015-09-01,36.862942366289204,36.874651975648845,51.93230358313099
2015-10-01,38.64378294125995,38.653600149004085,46.442562145068614
2015-11-01,39.08728300711544,39.095507379814,46.586274178577035
2015-12-01,39.497295830387955,39.50417898007224,43.3129884444923
2016-01-01,39.61492341419976,40.108180958155344,40.254903337044404
2016-02-01,35.42993030059109,37.135878528314464,32.66275757236108
2016-03-01,29.95911188249771,35.17905358004485,20.92904796758548
2016-04-01,24.655496494748412,33.377733523890385,9.790846181097358
2016-05-01,22.660320633333097,31.35524852789644,7.5348698897049315
2016-06-01,22.240671658813692,31.007542844142783,6.8922312250254025
2016-07-01,21.73135377552945,29.51523888996623,7.863978781616554
2016-08-01,21.041015132652003,28.05753188069122,8.407648029507797
2016-09-01,19.73252366814133,26.315330659575782,7.877796377359658
2016-10-01,20.726065816050838,25.085005964880704,12.359042224848782
2016-11-01,19.256723819354207,22.890624114781254,12.138730377349049
2016-12-01,18.435101721405974,21.480583196891267,12.361448809081654
2017-01-01,18.21693578388326,21.072541671339316,12.584167240814171
2017-02-01,18.08232717612908,19.891137933744133,14.166675615685076
2017-03-01,15.716622978374039,15.43603410252204,15.070966115611274
2017-04-01,13.20440255724484,13.258830234296571,12.180294503045207
2017-05-01,10.885341498195963,8.57196563990336,13.525113218366446
2017-06-01,9.130187380704772,4.348778144945275,15.57266035056144
2017-07-01,8.043340453484085,2.3658407286430423,15.919725396659201
2017-08-01,7.215939183473979,0.8849461406913296,16.152262458638454
2017-09-01,7.044014989214599,0.4932631297617043,16.38045943792854
2017-10-01,6.01562317091654,0.028283176149842992,14.569090419439368
2017-11-01,5.817384606737607,0.40957671205567425,13.556200622018032
2017-12-01,5.803468000234638,0.34332438787722463,13.668743932842586
2018-01-01,5.46698335733228,-0.4892942936323702,14.118471900925055
2018-02-01,4.685391395968328,-1.6921219328804318,14.00548331488456
2018-03-01,3.9892352442584436,-2.3083588026099093,13.221555630008153
2018-04-01,2.9115752868953253,-4.010969761900544,13.109343979235067
2018-05-01,3.6775394071903955,-1.750372739349035,11.657792674467004
2018-06-01,3.5685105487830953,-0.7456347521972145,9.899402238648625
2018-07-01,3.3780887844940497,-0.39256706732713964,8.912281859259586
2018-08-01,3.135189391353767,-0.8593278204466784,9.021303162422
2018-09-01,2.437786410556036,-1.9410592503544026,8.914419531870577
2018-10-01,2.489312564798433,-2.205797032988875,9.452534252877886
2018-11-01,1.2932494650536253,-4.553760551898961,9.994915492981304
2018-12-01,-0.6280811282895504,-7.604636627305326,9.777103779133833
2019-01-01,-1.6553080037954506,-8.950840332763931,9.2363298688918
2019-02-01,-1.577984439398933,-8.528647676949817,8.803281980412514
2019-03-01,-0.6992945569552997,-6.916662536488685,8.588043044744055
2019-04-01,0.9649105164876168,-4.283145167564151,8.803495511102689
2019-05-01,0.8748941176051985,-4.937907402142672,9.565119979680436
2019-06-01,1.1194345081480666,-4.1625100539150965,9.017294379782005
2019-07-01,1.3465981096822754,-3.8548305371135125,9.127080174726409
2019-08-01,1.9615483170420678,-2.6096982342349997,8.799698934202226
2019-09-01,2.001638296764912,-1.687014969022375,7.51844634616452
2019-10-01,2.0091728675986076,-0.9681792867996137,6.461234484353651
2019-11-01,2.7673597504863743,1.2066629282580046,5.096346862759371
2019-12-01,4.171406727259662,4.2429236774090615,4.053724374041523
2020-01-01,5.237792339462479,6.57064374467246,3.229536458207538
2020-02-01,5.098982110687373,6.887935046232497,2.407808804808864
2020-03-01,3.306904540262823,3.969513615189507,2.306314445240165
2020-04-01,0.23352844980801324,-1.0171071013450215,2.1037276839624752
2020-05-01,-0.24775699763289982,-1.5483343842428237,1.6981518043836408
2020-06-01,0.1048282843209586,-1.4372097606744614,2.4136161889370955
2020-07-01,0.6837147055041829,-0.47200302527734095,2.4136161889370955
2020-08-01,-0.4504574245912434,-2.4304293143247295,2.516337970470639
